Country,Bronze,Silver,Gold,TeamSize,M2012,F2012,GDP2011,Population (in thousands) total,Population in urban areas (%),Population living below the poverty line (% living on &lt; US$1 per day),Population median age (years),Population proportion over 60 (%),Population proportion under 15 (%),Population above 15 and under 60(in thousands),Life expectancy at birth (years) both sexes,Life expectancy at birth (years) female,Life expectancy at birth (years) male,Literacy_rate_youth_female,Literacy_rate_youth_male,Literacy_rate_youth_total
San Marino,0,0,0,4,1,3,"1,487,000,000.00",31,93,,,26,14,19,82,83,80,,,
Sao Tome and Principe,0,0,0,2,1,1,"248,286,777.50",155,59,,19,6,41,82,61,63,60,94.85,95.97,95.42
Saudi Arabia,1,0,0,19,17,2,"576,824,000,000.00",24175,81,,24,4,34,14989,70,73,68,94.68,96.95,95.85
Senegal,0,0,0,35,28,7,"14,291,456,855.00",12072,42,17,19,6,42,6277,59,61,57,40.97,58.49,49.12
Serbia,2,1,1,116,80,36,"45,043,430,299.00",9851,52,,37,19,18,6206,73,76,71,,,
Seychelles,0,0,0,6,4,2,"1,007,186,292.00",86,51,,,10,24,57,72,77,68,49.69,49.39,49.53
Sierra Leone,0,0,0,2,1,1,"2,242,960,927.00",5743,41,,18,5,43,2986,40,42,39,37.36,59.61,47.93
Singapore,2,0,0,23,8,15,"239,700,000,000.00",4382,100,,38,13,19,2980,80,83,78,99.6,99.41,99.5
Slovakia,3,1,0,46,26,20,"95,994,147,901.00",5388,56,,36,16,16,3664,74,78,70,,,
Slovenia,2,1,1,68,28,40,"49,539,271,105.00",2001,51,,41,21,14,1301,78,82,74,99.88,99.82,99.85
Solomon Islands,0,0,0,4,2,2,"838,022,104.90",484,17,,20,5,40,266,67,68,65,,,
Somalia,0,0,0,2,1,1,"1,071,000,000.00",8445,36,,18,4,44,4391,55,56,54,,,
South Africa,1,2,3,133,69,64,"408,237,000,000.00",48282,60,10.7,24,7,32,29452,51,53,50,94.29,93.5,93.91
Spain,4,10,3,289,175,114,"1,490,810,000,000.00",43887,77,,39,22,14,28088,81,84,78,99.57,99.54,99.55
Sri Lanka,0,0,0,7,4,3,"59,172,135,299.00",19207,15,5.6,30,10,24,12677,72,76,69,96.12,95.07,95.59
Sudan,0,0,0,6,4,2,"55,097,394,769.00",37707,42,,20,6,40,20362,60,61,59,71.43,84.62,77.18
Suriname,,,,,,,,455,74,,26,9,29,282,68,71,65,94.14,95.62,94.88
Swaziland,0,0,0,3,2,1,"3,977,754,360.00",1134,24,,19,5,39,635,42,43,41,89.76,86.98,88.42
Sweden,3,4,1,140,56,84,"538,131,000,000.00",9078,84,,40,24,17,5356,81,83,79,,,
Switzerland,0,2,2,106,76,30,"635,650,000,000.00",7455,76,,40,21,16,4697,82,84,79,,,
Syria,0,0,0,10,6,4,"59,834,000,000.00",19408,51,,21,5,36,11451,72,75,70,90.22,94.61,92.45
Taiwan,1,1,0,44,19,25,"876,035,000,000.00",,,,,,,0,,,,,,
Tajikistan,1,0,0,16,13,3,"6,522,200,291.00",6640,25,7.4,20,5,39,3718,64,66,63,99.85,99.84,99.85
Tanzania,0,0,0,7,5,2,"23,705,302,063.00",39459,25,57.8,18,5,44,20124,50,51,50,76.2,80.92,78.4
Thailand,1,2,0,37,19,18,"345,649,000,000.00",63444,33,2,33,12,21,42507,72,75,69,97.85,98.1,97.98
Timor-Leste,,,,,,,,1114,27,,17,5,45,557,66,69,64,,,
Togo,0,0,0,6,4,2,"3,594,513,925.00",6410,41,,18,5,43,3333,57,60,55,63.55,83.65,74.37
Tonga,0,0,0,3,2,1,"435,589,199.60",100,24,,21,9,37,54,71,69,73,99.35,99.27,99.31
Trinidad and Tobago,3,0,1,31,21,10,"22,483,115,868.00",1328,13,,29,10,22,903,69,72,66,99.47,99.46,99.46
Tunisia,1,1,1,84,64,20,"45,863,804,800.00",10215,66,2,27,9,25,6742,72,75,70,92.24,96.4,94.34
Turkey,1,2,2,114,48,66,"773,091,000,000.00",73922,68,3.4,27,8,28,47310,73,75,71,93.3,98.02,95.6
Turkmenistan,0,0,0,10,7,3,"24,107,017,544.00",4899,47,,24,6,31,3086,63,67,60,99.81,99.81,99.81
Tuvalu,0,0,0,3,2,1,"35,784,426.83",10,46,,,8,34,6,65,65,64,,,
Uganda,0,0,1,16,11,5,"16,809,623,489.00",29899,13,,15,4,49,14053,50,51,49,71.21,82.74,76.64
Ukraine,9,5,6,236,121,115,"165,245,000,000.00",46557,68,2,39,21,14,30262,67,73,61,99.83,99.78,99.8
United Arab Emirates,0,0,0,30,28,2,"360,245,000,000.00",4248,77,,30,2,20,3313,78,80,77,95.49,97.88,96.97
United Kingdom,,,,,,,,60512,90,,39,22,18,36307,79,81,77,,,
United States of America,,,,,,,,302841,81,,36,17,21,187761,78,80,75,,,
Uruguay,0,0,0,33,30,3,"46,709,797,684.00",3331,92,2,33,18,24,1932,75,79,72,99.02,98.15,98.58
Uzbekistan,3,0,1,54,36,18,"45,359,432,355.00",26981,37,2,23,6,32,16728,68,70,65,,,
Vanuatu,0,0,0,5,3,2,"819,227,088.40",221,24,,20,5,39,124,69,70,67,,,
Venezuela,0,0,1,69,42,27,"316,482,000,000.00",27191,94,18.5,25,8,31,16587,74,78,71,98.07,96.33,97.2
Vietnam,0,0,0,18,6,12,"123,961,000,000.00",86206,27,,25,8,29,54310,72,75,69,93.59,94.18,93.88
West Bank and Gaza,,,,,,,,,,,,,,0,,,,98.82,99.15,98.99
Yemen,0,0,0,4,3,1,"33,757,503,322.00",21732,28,,17,4,45,11083,61,62,59,58.88,90.7,75.2
Zambia,0,0,0,7,5,2,"19,206,011,889.00",11696,35,63.8,17,5,46,5731,43,43,42,66.23,72.62,69.46
Zimbabwe,0,0,0,7,4,3,"9,900,000,000.00",13228,36,,19,5,39,7408,43,43,44,97.93,97.48,97.7
,,,,,,,,,,,,,,,,,,,,
